timestamp,service,event,severity,response_time
2026-05-23 19:12:46.672480,auth-service,request_received,medium,1977
2026-05-23 19:12:51.672480,payment-service,request_received,low,119
2026-05-23 19:12:56.672480,order-service,processing,low,1671
2026-05-23 19:13:01.672480,inventory-service,processing,low,1546
2026-05-23 19:13:06.672480,notification-service,timeout,medium,1483
2026-05-23 19:13:11.672480,database,request_received,low,538
2026-05-23 19:13:46.672480,auth-service,success,medium,1328
2026-05-23 19:13:51.672480,payment-service,processing,medium,1805
2026-05-23 19:13:56.672480,order-service,processing,medium,882
2026-05-23 19:14:01.672480,inventory-service,success,low,1726
2026-05-23 19:14:06.672480,notification-service,timeout,high,1897
2026-05-23 19:14:11.672480,database,request_received,high,1476
2026-05-23 19:14:46.672480,auth-service,success,medium,718
2026-05-23 19:14:51.672480,payment-service,high_cpu,medium,212
2026-05-23 19:14:56.672480,order-service,processing,high,507
2026-05-23 19:15:01.672480,inventory-service,high_cpu,high,967
2026-05-23 19:15:06.672480,notification-service,processing,high,1778
2026-05-23 19:15:11.672480,database,timeout,medium,270
2026-05-23 19:15:46.672480,auth-service,request_received,high,658
2026-05-23 19:15:51.672480,payment-service,request_received,high,566
2026-05-23 19:15:56.672480,order-service,high_cpu,high,1667
2026-05-23 19:16:01.672480,inventory-service,request_received,medium,487
2026-05-23 19:16:06.672480,notification-service,timeout,low,1234
2026-05-23 19:16:11.672480,database,processing,high,1060
2026-05-23 19:16:46.672480,auth-service,high_cpu,high,1748
2026-05-23 19:16:51.672480,payment-service,high_cpu,medium,1014
2026-05-23 19:16:56.672480,order-service,timeout,low,1693
2026-05-23 19:17:01.672480,inventory-service,request_received,high,570
2026-05-23 19:17:06.672480,notification-service,success,low,765
2026-05-23 19:17:11.672480,database,timeout,high,1410
2026-05-23 19:17:46.672480,auth-service,request_received,low,1404
2026-05-23 19:17:51.672480,payment-service,request_received,high,964
2026-05-23 19:17:56.672480,order-service,processing,low,492
2026-05-23 19:18:01.672480,inventory-service,high_cpu,medium,878
2026-05-23 19:18:06.672480,notification-service,processing,medium,1322
2026-05-23 19:18:11.672480,database,request_received,low,583
2026-05-23 19:18:46.672480,auth-service,high_cpu,low,1939
2026-05-23 19:18:51.672480,payment-service,request_received,high,999
2026-05-23 19:18:56.672480,order-service,success,medium,840
2026-05-23 19:19:01.672480,inventory-service,high_cpu,medium,1434
2026-05-23 19:19:06.672480,notification-service,request_received,medium,594
2026-05-23 19:19:11.672480,database,success,high,149
2026-05-23 19:19:46.672480,auth-service,high_cpu,medium,1974
2026-05-23 19:19:51.672480,payment-service,request_received,high,135
2026-05-23 19:19:56.672480,order-service,timeout,medium,1163
2026-05-23 19:20:01.672480,inventory-service,success,low,1199
2026-05-23 19:20:06.672480,notification-service,request_received,medium,810
2026-05-23 19:20:11.672480,database,success,medium,126
2026-05-23 19:20:46.672480,auth-service,high_cpu,high,1896
2026-05-23 19:20:51.672480,payment-service,timeout,high,127
2026-05-23 19:20:56.672480,order-service,high_cpu,medium,1282
2026-05-23 19:21:01.672480,inventory-service,success,high,621
2026-05-23 19:21:06.672480,notification-service,request_received,high,192
2026-05-23 19:21:11.672480,database,processing,low,271
2026-05-23 19:21:46.672480,auth-service,request_received,medium,284
2026-05-23 19:21:51.672480,payment-service,high_cpu,low,800
2026-05-23 19:21:56.672480,order-service,request_received,medium,934
2026-05-23 19:22:01.672480,inventory-service,high_cpu,high,1137
2026-05-23 19:22:06.672480,notification-service,success,medium,939
2026-05-23 19:22:11.672480,database,processing,high,1954
2026-05-23 19:22:46.672480,auth-service,request_received,medium,1476
